"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"TPV","AURA PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","3,1358","8,1061","14,0267","10,1853","24,1989","187,8060","353,2698"
"CVK","INVEO PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","3,1355","9,6458","19,8387","15,9462","41,9511","-","-"
"FFP","QNB PORTFÖY FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","3,1341","6,4567","13,7965","11,2299","33,8849","194,5825","-"
"ZBI","ZİRAAT PORTFÖY ÇOKLU VARLIK BİRİNCİ KATILIM FONU","Katılım Şemsiye Fonu","3,1165","9,8393","20,0816","16,1438","-","-","-"
"AHN","ATLAS PORTFÖY SERBEST(DÖVİZ)FON","Serbest Şemsiye Fonu","3,1078","7,3984","15,1283","12,7543","29,4285","196,2920","649,4894"
"HBN","HSBC PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","3,1069","3,4599","14,0692","9,5755","22,8263","-","-"
"GUM","AK PORTFÖY GÜMÜŞ FON SEPETI FONU","Fon Sepeti Şemsiye Fonu","3,1066","13,3797","19,7462","24,5541","25,8046","221,0764","-"
"RD1","ROTA PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","3,1028","13,2717","24,5677","21,1967","-","-","-"
"DNK","TACİRLER PORTFÖY DENGE KATILIM SERBEST FON","Serbest Şemsiye Fonu","3,0992","9,4564","-","-","-","-","-"
"RBV","ALBARAKA PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,0748","9,5986","21,3660","17,1232","50,1973","160,8451","243,1112"
"GMC","TEB PORTFÖY GÜMÜŞ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","3,0746","13,4513","19,7039","24,3615","25,5254","-","-"
"GPI","GARANTİ PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","3,0743","9,4773","19,1595","16,5021","39,7769","240,4824","479,8340"
"IPG","İŞ PORTFÖY ATAK FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","3,0695","4,7553","8,5090","5,2559","15,6016","215,8931","344,4240"
"ORC","QINVEST PORTFÖY ALFA SERBEST FON","Serbest Şemsiye Fonu","3,0644","1,9567","-","6,8094","-","-10,8107","-"
"RPS","ROTA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","3,0641","8,5510","16,4346","12,8819","29,3885","199,8777","-"
"GAH","GARANTİ PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","3,0623","9,7209","19,8515","16,9499","41,6606","238,4660","436,4306"
"YUN","YAPI KREDİ PORTFÖY İSTİNYE SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","3,0596","7,7633","15,0313","12,8753","30,5281","-","-"
"BSH","ATLAS PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","3,0568","-22,6861","-","-20,8697","-","-","-"
"FPE","FİBA PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU","Borçlanma Araçları Şemsiye Fonu","3,0518","7,1646","14,5226","12,8587","30,2068","216,6831","694,9833"
"ODV","AK PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","3,0499","2,1919","8,7151","6,0487","21,7704","234,0277","661,8096"
"IAT","İŞ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,0378","9,1336","19,9185","16,1312","46,1625","151,1063","236,0621"
"DPK","DENİZ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,0320","9,6812","21,2956","17,1527","50,4680","164,6865","250,3877"
"JUP","AURA PORTFÖY JÜPİTER SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","3,0308","9,5177","15,9106","13,3576","-","-","-"
"BFE","ALLBATROSS PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","3,0295","9,1761","19,2562","16,3223","-","-","-"
"GPC","GARANTİ PORTFÖY İKİNCİ SERBEST ( DÖVİZ ) FON","Serbest Şemsiye Fonu","3,0060","7,1368","13,9314","12,9189","29,6469","202,6883","639,8113"
"TPZ","TEB PORTFÖY KİRA SERTİFİKALARI (DÖVİZ) KATILIM FONU","Katılım Şemsiye Fonu","3,0024","9,1945","16,7488","14,0674","33,0097","210,6940","652,9945"
"GZP","GARANTİ PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","2,9917","9,7237","18,0023","16,4503","39,7136","235,7330","-"
"KHT","ALLBATROSS PORTFÖY KARTAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,9811","18,1838","20,9596","18,6660","10,9636","-","-"
"GLC","AKTİF PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","2,9554","9,1971","15,5801","13,1496","34,3508","-","-"
"YNK","YAPI KREDİ PORTFÖY NİŞANTAŞI KAR PAYI ÖDEYEN SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,9342","5,5265","10,4316","8,3013","19,8423","-","-"
"MGH","TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,9247","5,3816","14,4316","7,4432","40,5003","-","-"
"KTT","KUVEYT TÜRK PORTFÖY DÖRDÜNCÜ KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,9011","9,1356","16,1767","13,8002","30,1485","189,5650","585,9402"
"TCD","TACİRLER PORTFÖY DEĞIŞKEN FON","Değişken Şemsiye Fonu","2,8991","-2,7991","-5,6673","-8,4305","-4,5201","284,2583","1.272,9012"
"BVM","ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,8773","-5,9198","-6,4439","-7,6651","-10,6252","-","-"
"HVU","ALLBATROSS PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,8761","6,0597","13,6952","10,8298","20,7370","-","-"
"DMG","DENİZ PORTFÖY GÜMÜŞ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","2,8757","13,8696","20,4038","25,4042","27,9784","218,7583","-"
"KRF","KARE PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,8699","1,7595","11,6537","8,2434","34,4502","307,5118","850,3005"
"YZG","YAPI KREDİ PORTFÖY GÜMÜŞ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","2,8446","12,2310","19,7952","23,9402","29,0605","234,9034","-"
"KRT","KARE PORTFÖY TÜRKİYE ODAKLI SERBEST (DÖVİZ ) FON","Serbest Şemsiye Fonu","2,8415","9,0590","16,0717","13,5741","29,7049","197,9295","643,8276"
"IJA","INVEO PORTFÖY ATAK DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,8383","1,2509","6,4635","4,8468","21,3558","420,4677","-"
"HJB","HEDEF PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,8314","4,6861","15,9871","10,0946","18,5888","-","-"
"EBD","GLOBAL MD PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,8243","5,9520","11,1797","8,5110","26,2406","294,0181","620,1463"
"IDF","İŞ PORTFÖY SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,8233","8,8420","17,0102","15,4507","33,8340","201,3882","659,6923"
"MJG","AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","2,8202","15,1405","22,2326","26,7636","30,2470","243,6715","-"
"RBK","ALBARAKA PORTFÖY KATILIM FONU","Katılım Şemsiye Fonu","2,8054","9,9768","17,6835","14,9969","35,9449","176,8590","444,0171"
"YAN","YAPI KREDİ PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","2,7999","2,6731","3,5307","2,9216","9,5409","158,0804","434,7343"
"IMF","İSTANBUL PORTFÖY MAESTRO SERBEST FON","Serbest Şemsiye Fonu","2,7927","10,0483","15,9107","13,4009","28,9422","174,5487","-"
"KGM","KUVEYT TÜRK PORTFÖY GÜMÜŞ KATILIM FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","2,7764","13,2375","20,3075","25,6953","-","-","-"
"ZPF","ZİRAAT PORTFÖY KATILIM FONU (DÖVİZ)","Katılım Şemsiye Fonu","2,7763","9,1491","16,3283","13,6874","31,4506","193,3513","569,1201"
"PPE","PHİLLİP PORTFÖY SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,7604","6,2464","12,0454","11,5352","27,6681","-","-"
"SVB","STRATEJİ PORTFÖY AGRESİF DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,7485","6,8369","8,7235","1,4655","20,7142","443,6200","-"
"NBH","NEO PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON","Serbest Şemsiye Fonu","2,7480","6,4300","6,5298","5,0926","28,7935","248,3296","-"
"AJK","AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,7477","8,6539","15,5063","13,2094","24,5181","157,2236","568,9908"
"FUB","QNB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","2,7468","6,6098","13,7398","12,8880","29,1949","201,0464","627,4974"
"YMH","YAPI KREDİ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,7467","7,8149","-","-","-","-","-"
"ODS","OYAK PORTFÖY İKİNCİ SERBEST(DÖVİZ) FON","Serbest Şemsiye Fonu","2,7465","7,3294","14,1170","12,2670","30,9682","216,4764","650,9238"
"MPP","MEKSA PORTFÖY PRİME SERBEST FON","Serbest Şemsiye Fonu","2,7383","7,9939","13,5983","11,3813","32,6598","177,4655","473,8085"
"GLS","AZİMUT PORTFÖY  KİRA SERTİFİKALARI (SUKUK) KATILIM FONU","Katılım Şemsiye Fonu","2,7368","9,0492","19,6591","15,5958","47,4789","170,1082","276,9700"
"YBR","İŞ PORTFÖY YİRMİBİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,7365","-","-","-","-","-","-"
"TGE","İŞ PORTFÖY EMTİA YABANCI BYF FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","2,7294","4,4066","14,2870","11,3713","16,0335","84,6392","801,6400"
"PDD","QİNVEST PORTFÖY KATILIM FONU","Katılım Şemsiye Fonu","2,7211","8,2549","18,0768","13,6891","39,7255","198,5479","-"
"HMC","HEDEF PORTFÖY EKİNOKS SERBEST (TL) FON","Serbest Şemsiye Fonu","2,7183","7,8432","7,9910","6,1838","9,8883","377,1002","-"
"ICV","ICBC TURKEY PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","2,7153","9,9388","23,4847","17,9456","53,1510","222,1588","-"
"ECA","GLOBAL MD PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,7039","0,6038","3,0728","0,3701","14,8987","365,5939","845,6218"
"IPV","İŞ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU","Borçlanma Araçları Şemsiye Fonu","2,7034","5,8906","14,0864","11,4590","29,6202","202,0614","666,4189"
"AKE","AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","2,7015","6,1814","12,7804","12,1768","28,3828","202,8121","616,9813"
