"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"SAS","AK PORTFÖY SABANCI TOPLULUĞU ŞİRKETLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","2,4049","-9,4948","-5,4881","-11,1986","-4,1323","-","-"
"ACU","İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,4039","8,7517","16,4667","13,4766","30,4285","151,4718","471,8711"
"GVI","GARANTİ PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","2,3923","1,8750","5,9993","5,1117","16,9846","-","-"
"YDP","YAPI KREDİ PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,3801","3,7758","9,5659","5,4245","17,7130","-","-"
"KIH","KARE PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,3629","-","-","-","-","-","-"
"IYB","AURA PORTFÖY DEĞİŞKEN FONU","Değişken Şemsiye Fonu","2,3603","5,3673","15,6116","11,5059","23,4306","248,5379","381,1989"
"CIN","AKTİF PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","2,3558","7,2725","8,0512","7,2741","9,1730","-","-"
"GMA","AZİMUT PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,3389","-0,4780","3,3231","-3,9469","9,8981","320,0370","731,2877"
"PPS","PHİLLİP PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","2,3360","10,5587","19,8521","23,4498","37,5965","120,2310","-"
"HFI","HEDEF PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,3338","3,1806","1,8235","2,0319","-","-","-"
"OHB","OYAK PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","2,3319","-4,4525","-1,4401","-3,9504","-2,7968","367,0843","1.164,3171"
"YZK","YAPI KREDİ PORTFÖY KALAMIŞ SERBEST FON","Serbest Şemsiye Fonu","2,3312","7,0266","14,5524","12,3508","31,5024","182,4076","-"
"TJT","TEB PORTFÖY ALTINCI SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","2,3272","15,8569","21,5162","20,3607","34,6797","196,1081","-"
"HP3","HEDEF PORTFÖY LİDYA SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,3074","8,2394","14,9276","12,5474","29,5675","-","-"
"YMD","YAPI KREDİ PORTFÖY MASLAK SERBEST (DÖVİZ- ABD DOLARI) FON","Serbest Şemsiye Fonu","2,3051","8,4659","15,1890","12,6398","27,2775","-","-"
"AUV","AK PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2987","3,7082","10,1656","11,5591","-","-","-"
"NZU","NUROL PORTFÖY ZÜMRÜT KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2824","-","-","-","-","-","-"
"YDI","YAPI KREDİ PORTFÖY MODEL PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","2,2662","-6,3087","-3,8102","-6,8355","-8,1430","346,2012","1.094,6310"
"KTM","KUVEYT TÜRK PORTFÖY BİRİNCİ KATILIM (TL) FONU","Katılım Şemsiye Fonu","2,2603","8,1129","16,5701","12,8352","37,1079","285,3719","584,1492"
"NCS","NUROL PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2566","8,8897","16,3261","13,4019","29,5043","-","-"
"RPG","ROTA PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","2,2535","22,9276","35,4021","38,2194","67,9524","268,3640","-"
"DKL","DENİZ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2494","8,3691","-","-","-","-","-"
"YJY","YAPI KREDİ PORTFÖY YENİKÖY SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2450","8,5405","15,4004","12,7525","27,9343","179,2243","-"
"DNM","QNB PORTFÖY DİNAMİK DAĞILIMLI SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2432","9,1941","17,1881","13,9537","-","-","-"
"ZP6","ZİRAAT PORTFÖY SEDEF KATILIM SERBEST (DÖVİZ - AMERİKAN DOLARI) FON","Serbest Şemsiye Fonu","2,2263","8,5660","15,3663","12,7733","28,1645","-","-"
"PSL","AZİMUT PORTFÖY 8.0 SERBEST FON","Serbest Şemsiye Fonu","2,2160","6,1716","16,2003","12,2257","31,9539","200,8075","-"
"HBF","HSBC PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","2,2151","24,1199","39,9428","39,8493","72,9790","306,5622","881,5749"
"KUB","KARE PORTFÖY DEĞİŞKEN  (DÖVİZ) FONU","Değişken Şemsiye Fonu","2,2084","2,7290","11,6680","9,9342","30,9075","217,8777","833,8355"
"BHL","İŞ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,2062","-10,2691","-13,1665","-14,6145","-","-","-"
"PBI","PARDUS PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","2,2024","7,1000","15,2068","11,7422","-","-","-"
"KHB","KARE PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","2,1992","1,4699","-","-","-","-","-"
"NSD","NUROL PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,1958","8,5387","15,7771","12,9147","29,2397","-","-"
"KCL","KARE PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","2,1945","8,4365","-","-","-","-","-"
"AGC","AK PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,1921","7,7848","16,3885","13,4439","31,7458","154,7984","489,8279"
"OTM","AZİMUT PORTFÖY OTOMOTİV SEKTÖRÜ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,1897","4,0226","-","-","-","-","-"
"DOL","AKTİF PORTFÖY ÜÇÜNCÜ AKTİF SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,1894","8,4317","15,2356","12,5501","26,6668","-","-"
"YSL","YAPI KREDİ PORTFÖY KAR PAYI ÖDEYEN KİRA SERTİFİKALARI KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,1871","8,4731","10,0667","7,5204","17,3912","-","-"
"RPX","ROTA PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,1781","8,4376","15,6874","12,8382","27,1314","-","-"
"ZCN","ZİRAAT PORTFÖY EMTİA FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","2,1762","8,8108","17,4483","17,1193","25,8107","-","-"
"HPD","HSBC PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,1705","-1,0549","7,3942","3,5313","17,9532","234,1387","526,4522"
"RBI","RE-PIE PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,1695","7,6492","14,9053","12,7567","33,6997","-","-"
"GRO","GARANTİ PORTFÖY OTUZUNCU SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,1633","8,4134","15,1345","12,5423","26,2906","-","-"
"FPZ","QNB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,1463","8,3944","15,1120","12,4716","26,4723","182,7587","598,2495"
"GMD","GLOBAL MD PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","2,1448","3,7101","10,2231","8,4349","22,4097","168,0185","-"
"PAL","AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON","Serbest Şemsiye Fonu","2,1396","8,3574","15,0747","12,4601","26,3932","166,7052","548,9480"
"NBZ","NEO PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,1380","7,6904","14,7926","11,9977","26,2118","180,2206","-"
"ONS","İŞ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,1374","8,3478","14,9267","12,3144","25,9493","-","-"
"NKA","NEO PORTFÖY KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,1363","-","-","-","-","-","-"
"GAF","INVEO PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","2,1353","-7,5809","-5,0182","-6,6606","-4,7784","426,2470","1.209,0917"
"KUT","KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU","Katılım Şemsiye Fonu","2,1251","16,5418","28,1856","31,2555","46,8053","264,0355","-"
"KRA","TRİVE PORTFÖY KİRA SERTİFİKALARI KATILIM FONU","Katılım Şemsiye Fonu","2,1174","7,4188","17,6717","13,9942","-","-","-"
"YP4","YAPI KREDİ PORTFÖY FERİKÖY SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,1162","8,3004","14,9965","12,3636","26,3326","-","-"
"HKG","ZİRAAT PORTFÖY HALK'IN ÜRETEN KADINLARI DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,1108","-1,3160","-3,0877","-4,9063","-","-","-"
"TMM","TERA PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,1061","8,8699","53,1290","50,5320","79,8486","-","-"
"FBI","FİBA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,1016","8,2717","14,8491","12,2443","25,7924","-","-"
"KTN","KUVEYT TÜRK PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU","Katılım Şemsiye Fonu","2,0972","2,7861","12,9211","9,3266","33,7651","128,6135","205,0055"
"GAG","INVEO PORTFÖY BİRİNCİ SERBEST (DÖVIZ)  FON","Serbest Şemsiye Fonu","2,0947","7,4404","14,8884","12,2190","26,3806","174,3942","576,9696"
"DAS","DENİZ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,0791","8,2637","15,0484","12,4311","26,5114","-","-"
"GPL","GARANTİ PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,0732","8,1610","14,5158","12,0610","24,8106","-","-"
"RPD","RE-PIE PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,0731","8,2007","24,1220","17,9644","45,7976","451,7231","-"
"OJB","QNB PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,0669","8,2570","14,8281","12,2713","25,2524","148,5287","-"
"GTY","GARANTİ PORTFÖY TREND SERBEST FON","Serbest Şemsiye Fonu","2,0416","10,6358","5,2161","13,6097","28,4973","124,5158","-"
"ICA","ICBC TURKEY PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","2,0236","22,1702","36,2052","36,6196","70,1949","308,2955","882,4381"
"TDG","İŞ PORTFÖY YABANCI BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","2,0162","8,2629","15,1204","12,4173","26,9138","149,5991","463,8635"
"RBA","ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU","Katılım Şemsiye Fonu","2,0159","25,1892","39,0668","41,2625","76,6269","295,5597","814,2218"
"DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","2,0144","5,5515","13,1553","12,6067","31,5829","256,7388","789,4529"
"ACD","İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,0114","2,8620","6,7697","2,6175","19,8273","411,6397","1.254,9967"
"BST","PARDUS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,0100","0,7665","5,6195","3,9645","25,5026","-","-"
"TMC","İŞ PORTFÖY TEMA DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,9882","-0,6983","7,2773","3,2864","20,3492","206,3488","339,3463"
"KDL","KUVEYT TÜRK PORTFÖY BEŞİNCİ KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,9741","7,8734","14,0478","11,5834","24,1899","-","-"
"YPR","AZİMUT PORTFÖY YILDIZ PAZAR ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,9717","-","-","-","-","-","-"
"NAU","NEO PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","1,9645","19,6828","40,0007","37,7948","98,8700","-","-"
"EYT","AKTİF PORTFÖY İKİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","1,9608","6,5963","15,3254","11,7982","28,5682","-","-"
"HSA","HSBC PORTFÖY DEĞİŞKEN (TL) FON","Değişken Şemsiye Fonu","1,9555","-2,1675","7,8618","3,4931","10,3868","357,4610","1.019,6421"
"BUL","AKTİF PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","1,9076","-8,0226","-8,4320","-11,7883","-28,1620","-","-"
"KPA","KUVEYT TÜRK PORTFÖY KAR PAYI ÖDEYEN KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,9047","3,3107","0,6076","-1,9725","-","-","-"
"NJF","NUROL PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","1,9028","21,7905","38,1695","37,2136","76,6580","331,9079","-"
"TTL","TACİRLER PORTFÖY KARTOPU SERBEST FON","Serbest Şemsiye Fonu","1,9022","-0,4665","3,2799","-1,6495","3,1028","611,8836","-"
"YVG","YAPI KREDİ PORTFÖY SARIYER SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","1,8906","18,1523","22,8393","21,9787","31,2101","186,2305","-"
"BDY","AK PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,8743","6,4179","7,1520","2,3599","17,8754","-","-"
"BIO","İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,8723","-8,4828","-3,9736","-7,1556","-4,6951","-","-"
"KZL","KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","1,8649","23,0143","40,2160","38,9198","72,8165","353,1538","994,9656"
"NVZ","NEO PORTFÖY ORSA SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,8366","16,6170","22,2647","21,0744","31,0295","-","-"
"ELZ","QİNVEST PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,8293","3,3575","2,5321","-2,7910","3,2155","362,5285","-"
"TI7","İŞ PORTFÖY DENGELİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,8261","-2,8776","0,8478","1,0635","6,4886","195,5176","445,9149"
"IHP","İSTANBUL PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","1,8207","-0,6585","4,2492","1,2463","-","-","-"
"YHB","YAPI KREDİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,8138","4,2474","0,9454","-6,8113","1,8721","-","-"
"TAL","ATLAS PORTFÖY ALTIN KATILIM FONU","Kıymetli Madenler Şemsiye Fonu","1,8105","23,0647","36,5500","37,9163","70,6265","-","-"
"NME","NUROL PORTFÖY MERCAN KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,7991","-","-","-","-","-","-"
"ZJV","ZİRAAT PORTFÖY BIST 30 DIŞI YILDIZ PAZAR ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,7908","2,5245","-0,5640","-6,8426","4,0746","434,7386","-"
"KP3","KARE PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,7844","-","-","-","-","-","-"
"ZMT","AZİMUT PORTFÖY 22.0 SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","1,7832","17,8512","23,5426","22,0800","34,0748","-","-"
"NUB","NUROL PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,7630","18,2981","24,3139","22,7864","-","-","-"
"ESG","AKTİF PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK SERBEST FON","Serbest Şemsiye Fonu","1,7356","-0,8943","4,1485","0,5803","11,1681","121,4110","-"
"DSD","DENİZ PORTFÖY İKİNCİ SERBEST (DÖVİZ_AVRO) FON","Serbest Şemsiye Fonu","1,7014","16,7258","22,9705","21,5600","33,0664","200,0072","576,5548"
"AHV","AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","1,6997","1,7232","6,6038","2,2792","19,1762","296,5721","656,3395"
"ACC","İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN)","Hisse Senedi Şemsiye Fonu","1,6957","-2,1211","0,5434","-1,2465","-1,1753","470,9774","1.186,8971"
"YTY","YAPI KREDİ PORTFÖY TARABYA SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","1,6926","17,8282","22,8953","21,9522","31,2187","-","-"
"ONK","AK PORTFÖY ONİKİNCİ SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","1,6908","17,7908","22,7628","21,8584","30,7828","-","-"
"KKC","KARE PORTFÖY KATILIM SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","1,6816","-","-","-","-","-","-"
"AYA","ATA PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,6799","-1,5764","-0,9904","-2,6456","-7,9529","255,1214","704,5303"
"MKG","AKTİF PORTFÖY ALTIN KATILIM FONU","Kıymetli Madenler Şemsiye Fonu","1,6753","21,3917","35,8070","36,4488","71,5506","348,9507","999,7047"
"DOV","DENİZ PORTFÖY ONÜÇÜNCÜ SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","1,6605","17,7661","22,7230","21,8095","30,7131","-","-"
"IDO","İŞ PORTFÖY ONDOKUZUNCU SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","1,6594","17,7259","22,3993","21,5989","29,6436","-","-"
"EUZ","GARANTİ PORTFÖY SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","1,6588","17,7388","22,5172","21,6886","29,8647","182,1840","-"
"ZP9","ZİRAAT PORTFÖY AKİK KATILIM SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","1,6539","16,7585","21,3670","20,4983","29,1258","-","-"
"IIH","İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,6419","-5,8102","-5,1203","-8,3291","-5,3155","627,6303","1.977,3339"
"MJL","AKTİF PORTFÖY AKTİF SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","1,6349","17,6811","22,4507","21,6182","29,9411","171,8198","-"
"FKE","QNB PORTFÖY KRİSTAL SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","1,6341","17,7077","22,5092","21,6637","29,7565","-","-"
"BHA","BULLS PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,6330","-","-","-","-","-","-"
"FSR","FİBA PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","1,6328","17,7160","22,6136","21,7277","30,1422","-","-"
"OGD","OYAK PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","1,6325","20,4771","35,1694","34,9089","66,3324","297,9510","-"
"RHS","ROTA PORTFÖY HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,6201","-3,1069","1,6045","-3,0275","0,2724","-","-"
"OLA","OSMANLI PORTFÖY İKİNCİ SERBEST (DÖVİZ- AVRO) FON","Serbest Şemsiye Fonu","1,6131","17,1323","21,7236","20,9243","30,1905","177,3384","-"
"GNS","GARANTİ PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,5934","-2,4668","-","-","-","-","-"
"TRU","TERA PORTFÖY KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,5851","9,5031","16,3572","14,6045","-","-","-"
"UPH","ÜNLÜ PORTFÖY HİSSE SENEDİ (TL) FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,5813","-4,5544","-2,5805","-3,9783","-7,4084","398,3975","1.360,6755"
"AC6","PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,5796","4,3256","10,8825","8,1054","24,9984","-","-"
"HMS","HSBC PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,5638","-6,9822","0,1417","-5,5309","-7,1264","466,7389","-"
"ZPE","ZİRAAT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,5577","-0,7215","-1,0885","-5,3197","-1,6431","307,3241","945,1482"
"AN1","STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,5572","2,7805","4,7427","0,1326","33,9323","359,4568","799,7974"
"ZCK","ZİRAAT PORTFÖY ÇOKLU VARLIK İKİNCİ KATILIM FONU","Katılım Şemsiye Fonu","1,5569","2,6586","4,8099","-2,0207","-","-","-"
"IHK","İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,5530","-9,4862","-5,5938","-8,3613","-6,0452","546,9637","-"
"KAV","KUVEYT TÜRK PORTFÖY ALTINCI KATILIM SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","1,5507","17,3409","21,7406","21,0090","28,4828","-","-"
"FSG","FİBA PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","1,5349","-5,7920","-3,8829","-5,3123","-9,0292","-","-"
"GOL","GARANTİ PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","1,5161","20,7746","35,6492","34,7387","64,7437","-","-"
"PKF","ATA PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","1,5152","21,8635","37,0572","36,4526","67,3269","-","-"
"TGA","GARANTİ PORTFÖY AGRESİF DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,5139","1,0951","8,2266","3,9493","17,8307","414,8857","918,6110"
"KVT","AK PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,4935","-0,1501","-","-9,9962","-","-","-"
"KPH","İŞ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,4752","-1,3536","1,0584","-3,9970","-","-","-"
"DBA","DENİZ PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","1,4737","20,9301","30,9135","35,2941","68,9056","315,2510","902,7674"
"EID","QİNVEST PORTFÖY HİSSE SENEDİ FONU (HİSSE YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,4599","-1,6768","-2,6932","-7,7570","-6,0497","508,7374","1.378,8576"
"RJG","RE-PIE PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","1,4563","21,7427","36,9543","36,2684","69,5284","-","-"
"ICC","ICBC TURKEY PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,4517","5,9470","11,9345","8,5324","26,3057","350,8544","703,9231"
"BHF","PARDUS PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,4230","7,4867","12,9478","8,4878","23,4103","-","-"
"FID","FİBA PORTFÖY ÇOKLU VARLIK İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,4135","-4,0744","-0,4629","-3,1399","-1,9296","228,4422","691,4022"
"OJK","QNB PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","1,3773","20,9093","35,3157","35,8448","71,0760","327,4181","-"
"MT1","MT PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,3564","2,7101","-","-","-","-","-"
"KLS","ALLBATROSS PORTFÖY KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,3541","-","-","-","-","-","-"
"TMZ","İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK VE TARIM FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","1,3521","1,8017","10,3022","8,0665","15,8109","-","-"
"KZU","KUVEYT TÜRK PORTFÖY İKİNCİ ALTIN KATILIM FONU","Katılım Şemsiye Fonu","1,3509","20,7783","35,3981","34,6311","-","-","-"
"HAM","HEDEF PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","1,3485","22,1248","44,3185","38,1222","86,9181","-","-"
"UP1","ÜNLÜ PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","1,3288","20,1905","30,9827","32,0761","68,4573","-","-"
"ZBO","ZİRAAT PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","1,3200","2,4564","12,6624","4,3107","34,9896","122,0420","-"
"YHS","YAPI KREDİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,3140","-5,7384","-1,1129","-4,7219","-8,6260","358,5671","1.096,2081"
